Num episodes,Cumulative rewards
580,"[8.0, -1.0, 16.0, -3.0, 0.0, 14.0, 0.0, -1.0, 1.0, -2.0]"
590,"[11.0, 11.0, -3.0, 20.0, -1.0, -1.0, -2.0, -1.0, 6.0, 27.0]"
600,"[-2.0, 0.0, 28.0, -2.0, 33.0, -1.0, -2.0, -2.0, -1.0, 15.0]"
610,"[-2.0, -2.0, 12.0, -1.0, 8.0, 18.0, 0.0, 21.0, -2.0, -2.0]"
620,"[-3.0, -1.0, 15.0, -1.0, -2.0, -1.0, -1.0, -2.0, 2.0, -3.0]"
630,"[10.0, 7.0, 0.0, -1.0, -1.0, 3.0, 17.0, -2.0, 1.0, -1.0]"
640,"[15.0, -2.0, 0.0, -1.0, 34.0, -2.0, 1.0, 2.0, 16.0, 0.0]"
650,"[7.0, -1.0, -2.0, 0.0, -2.0, 2.0, -3.0, -2.0, -2.0, -2.0]"
660,"[16.0, -2.0, -2.0, 12.0, -2.0, 3.0, 8.0, 10.0, -2.0, 0.0]"
670,"[8.0, -1.0, -1.0, -2.0, 20.0, -2.0, 14.0, 9.0, -3.0, 6.0]"
680,"[-3.0, 13.0, 21.0, 19.0, 1.0, 13.0, 12.0, -1.0, 13.0, -1.0]"
690,"[11.0, -2.0, 18.0, -2.0, 24.0, 8.0, -2.0, 0.0, -2.0, 0.0]"
700,"[-2.0, 11.0, 15.0, 10.0, -1.0, -2.0, -3.0, -1.0, 5.0, 24.0]"
710,"[-2.0, 1.0, 0.0, 13.0, -2.0, -1.0, -1.0, 0.0, 15.0, 15.0]"
720,"[-1.0, -2.0, 11.0, -2.0, -2.0, 18.0, -2.0, -1.0, -1.0, -1.0]"
730,"[4.0, 17.0, -1.0, -2.0, 6.0, -1.0, -2.0, 1.0, -2.0, 5.0]"
740,"[-1.0, 16.0, 7.0, -2.0, 50.0, -1.0, 9.0, 13.0, 13.0, -2.0]"
750,"[23.0, -2.0, 0.0, 1.0, -1.0, -2.0, -1.0, 0.0, 14.0, -3.0]"
760,"[-1.0, -1.0, -2.0, -2.0, 5.0, 28.0, 25.0, -2.0, -3.0, -3.0]"
770,"[-2.0, 15.0, 16.0, 0.0, -2.0, 2.0, -2.0, -1.0, 0.0, -1.0]"
780,"[-2.0, 17.0, -2.0, 23.0, 0.0, 11.0, 8.0, -1.0, 13.0, 28.0]"
790,"[-2.0, 4.0, -2.0, 11.0, 1.0, -2.0, -2.0, 2.0, 11.0, 0.0]"
