Num episodes,Cumulative rewards
340,"[-163.21142534854275, -236.02058556567755, -230.0567376747254, -514.8230527124226, -133.62854805335968, -491.2705733291425, -442.5879796281454, -244.3625001123545, -400.2729497020622, -1745.5018258692899]"
350,"[-424.07489441232934, -1047.327818266002, -501.47272405472154, -141.68905728715785, -614.3963596359747, -273.95703252030427, -323.6406053026658, -148.8173540821381, -587.5065824895139, -380.8262110519827]"
360,"[-156.93594358504717, -439.9545292229837, -589.1452131499555, -211.34635576036595, -657.3403607405598, -305.70451282951274, -147.29981894519838, -478.8756641876124, -276.70662420872867, -507.5260220522275]"
370,"[-507.5881956731865, -598.5540946766557, -355.6756629216288, -665.5747298637773, -145.89113122700928, -538.9297061928758, -401.2868991589215, -557.918848392738, -126.45935648107564, -293.7834504033907]"
380,"[-511.7871684201125, -304.45003846859333, -248.57437125527525, -446.16156825814494, -306.97174834889074, -374.39298090167597, -403.52454192811217, -588.6623793957898, -292.01345634376827, -137.45419175084905]"
390,"[-481.7246786055308, 2.5298502717982387, -552.2453425669398, -171.75015466946758, -146.54435808943217, -1582.4800231141687, -527.2983369529906, -269.3582539768319, -405.2602861477665, -332.68814803427665]"
400,"[-135.49898178098613, -127.68963565277363, -639.9428463943834, -118.78758990611894, -368.6523274327451, -1068.1928056448241, -32.91401126919875, -168.47916012758924, -526.3692799402896, -423.9161967782303]"
410,"[-391.16919496080277, -443.6100763750537, -522.644037289842, -328.366055780269, -327.3298842690672, -1375.9133420133571, -188.28772944335898, -330.6176960907553, -411.80710726826686, -427.12187970786846]"
420,"[-170.640564891284, -511.7642981060669, -208.2915785222222, -120.81043169566121, -307.98681499447946, -277.6888183100871, -109.0072585619341, -310.13431681869616, -269.6479924315298, -365.43842184098]"
430,"[-170.9738657597017, -1144.6243287418624, -534.7833091805635, -121.08181669289095, -302.2812352813504, -441.0343595714494, -109.92160182727142, -158.7559382426581, -901.8658527527559, -821.769510445512]"
440,"[-439.53151731060336, -381.5073706440319, -447.0913886647352, -242.88300828565667, -110.71295488139896, -162.81998249019432, -223.42357105093723, -382.63250261721583, -582.7376133005832, -839.3856344718527]"
450,"[-429.37077861747133, -520.8243465223702, -149.18171611688678, -131.52400334552215, -716.8702965047082, -57.05359901681488, -600.4440939697565, -173.91869000829584, -122.22398455197224, -921.0506002700977]"
460,"[-397.45934267516924, -518.5353885747699, -229.86666342741657, -556.0533777103693, -264.8613881768926, -1099.8015834803425, -110.95594204076414, -250.8933076271599, -123.2715010154034, -95.75652710112706]"
470,"[-145.2464160040754, -654.9486420064828, -167.07897728241156, -385.8225832877612, -705.711577565196, -262.2672172278642, -161.10835885884177, -640.2338964263557, -381.3112598436088, 42.21504066805909]"
480,"[-393.2669897496445, -134.0047810747977, -378.54279496329525, -174.29366198245555, -121.1730195234411, -169.0211981022536, -343.9075332928118, -798.7759830606748, -464.7995510647273, -661.0837449713902]"
490,"[-155.00720538750102, -116.276460054951, -129.95479291264684, -281.23255819483796, -320.1622908042958, -141.63649825252588, -519.82623538643, -621.4755166159421, -464.2205681452223, -701.480336281345]"
500,"[-652.241691394626, -492.2462563092274, -255.03853398023543, -116.9227197386044, -299.47453560575104, -381.6812945442805, -265.9884472088021, -143.76196017558843, -174.26379336903446, -223.54914084443857]"
510,"[-201.45107474015617, -279.2407174468244, -337.9357938769903, -569.1928033732759, -125.05757381341846, -221.22041765923325, -98.22672862734676, 27.027953388803184, -134.05454374705565, -347.6227645082537]"
520,"[-473.5428079176579, -138.44060921890696, -317.13963471704204, -427.4275685560631, -385.4651416840878, -163.83092801321803, -329.30571126887895, -309.4039908559414, -443.1931682417632, -249.54152661115322]"
530,"[-81.5131486763523, -145.37716174298535, -147.6565901889204, -262.87778427148794, -154.09022034393342, -316.2796990304662, -90.35766459752571, -161.96691883275554, -160.10997390525444, -15.936749598737677]"
540,"[-269.57332626260467, -536.0293090062395, -125.45861143344214, -1687.5991007082603, -145.469169620643, -296.0010357289842, -303.90490662187574, -359.23270351440976, -100.77183566939149, -316.7433578127188]"
550,"[-316.81940182571645, 12.514255984617137, -429.6360122115716, -128.19059112269676, -748.0111191693321, -349.55099188460133, -301.22019385688066, -372.1113005682681, -699.4252572331889, -124.22205919120145]"
560,"[-92.05485237749093, -849.9699765553412, -286.2537427975078, -156.99476694551433, -383.512657419987, -715.666415906203, -320.4294541080368, -461.6023511140113, -370.7481395932091, -140.43621327454136]"
570,"[-143.53733526996, -388.8283272919409, -259.61003450917696, -269.83005999424824, -771.0764715289481, -487.53938726562245, -256.23983019543704, -98.25500310434978, -487.8481362401134, -1074.1512724489685]"
580,"[-1185.097025538402, -509.5417030984765, -309.3449023689232, -350.66671154481753, -942.029171735389, -716.9116355314092, -142.36742066752515, -129.5061090040589, -288.83782989250483, -371.8610106684787]"
590,"[-144.66900879321182, -381.45145092879005, -141.5419999307461, -145.91902641138495, -382.4667735846199, -166.245977633035, -233.83227731913223, -399.91808046449637, -317.51221827499893, -203.6738938658598]"
600,"[-693.3849114299609, -265.36079123771844, -189.38510543830404, -153.5480208321364, -242.94592142047668, -724.4668497114553, -155.5090936002569, -710.4819375091375, -390.56433124601995, -269.0743937784408]"
610,"[-134.96772496794205, -130.28705611124965, -203.93994474674886, -124.45446415529631, -103.26634362446879, -556.9013409336068, -178.45648874800074, -465.37130400556987, -568.2010723996682, -123.32119418505056]"
620,"[-51.55627478002694, -421.7512629290584, -182.14188101810973, -442.7431513326056, -297.2338260392247, -914.3902027832025, -176.72588683911428, -539.7402001051546, -271.4173173207631, -310.46432142889387]"
630,"[-383.75160315627403, -138.10366309316714, -487.72337061947957, -225.78010597904557, -155.67456757071653, -149.84329917597955, -114.45192404739086, -246.5116238853455, -147.86799457757104, -333.576848886973]"
640,"[-148.60520273349144, -323.7191165827837, -468.35992471468944, -232.98171652881035, -514.5739598394584, -192.17545242837878, -304.5330733203859, -803.5327721267131, -290.84423185841365, -312.533687725875]"
650,"[-586.5417496260125, -275.4841788019165, -411.4688369344554, -507.23828076304244, -407.9476669205662, -106.67522252119375, -421.1057226540787, -121.86574670678485, -390.34634703643917, -421.1542642593143]"
660,"[-928.5287932204302, -418.78772153156314, -162.26083495069622, -295.86881824810547, -261.36044778966004, -535.0091574353262, -291.96817116964246, -113.83163392637996, -128.55003326423147, -158.44908593216667]"
670,"[-578.1867926652303, -18.16108707988589, -150.88644804177653, -356.76763448102076, -124.14247285354344, -255.14045574737685, -170.6854779286225, -923.5553909049474, -159.73568001020345, -123.17899572153985]"
680,"[-467.73227755356515, -253.68221604721202, -392.98443657029947, -133.83035687748688, -532.0833218865347, -509.25532258294845, -362.7484492221628, -792.5123793071382, -198.69265543626824, -729.1801559448916]"
690,"[-411.43663358672916, -109.0533723803133, -304.14899753093266, -253.61116344592193, -620.3451967383309, -892.0266446709797, -276.5741416537278, -102.06489408052425, -299.0206106359906, -213.08587140817355]"
700,"[-121.94193626822832, -286.26756677037275, -141.24447877153187, -323.6717290353008, -234.97156013609185, -379.44343887593254, -154.7073510480916, -544.4544734724207, -690.6829590805696, -162.1706473987841]"
710,"[-123.07969545764686, -377.1818953942733, -445.62403635524254, -975.421292940355, -143.21260431934067, -108.88007661226706, -542.368814352198, -328.435537957953, -230.78070903184974, -167.12082257027964]"
720,"[-234.9410426215956, -198.54529424372964, -759.0011842040346, -120.89090986531565, -132.61956921355448, -391.764400553506, -303.5194937960682, -140.15087661343932, -205.10305978640855, -499.1821460191787]"
730,"[-236.45051660896053, -201.39111514810978, -167.55884489625907, -117.24297461547536, -1278.485034558907, -137.02266049858372, -576.3342452490311, -514.3612980216228, -465.2598749610967, -294.3595790962297]"
740,"[-419.8095320463524, -380.37065303354575, -408.85691736627695, -133.67522064946883, -127.2165732078501, -700.6085525856562, -147.49668976502568, -636.9291486619861, -138.33186195779538, -135.5510151129907]"
750,"[-385.00685592629054, -291.2888439580055, -167.75110904308804, -236.12837188760756, -287.47795356938906, -317.79703721335864, -126.05840156211053, -430.6116281880852, -326.1494493573414, -210.91062476950947]"
760,"[-400.5270467911299, -340.68908183406626, -185.81824493202126, -447.975095927786, -134.7172541178911, -263.10855765304166, -145.7309039133097, -138.35174061843296, -150.54137424169235, -120.66140971434251]"
770,"[-467.430726499319, -583.2467536314534, -165.2864490692595, -81.29893119155858, -459.4709405481466, -814.0319123413722, -158.78266267666066, -139.63589886003143, -323.5893686276396, -230.576227370201]"
780,"[-285.7907066189373, -285.9980010902993, -353.72555307539784, -128.510605624441, -234.99065062423435, -122.55468537169068, -965.2113080551926, -268.0398445264203, -266.15601129915666, -111.0446716249134]"
790,"[-376.25101127854464, -535.0005812642398, -90.02956661565264, -555.2357959163548, -559.4774238896808, -108.2191205827564, -418.78254758069386, -136.40280581544854, -228.64802139649635, -425.9441784763612]"
800,"[-229.55550548275681, -208.46912987620004, -211.9967582439615, -133.82815682100411, -572.8034240964421, -166.0210092836281, -483.9224059146817, -138.36800722906418, -511.066801413794, -153.69563132811186]"
810,"[-267.21572462752954, -545.159472963644, -157.23021648867757, -114.91797475310881, -107.7616781451863, -128.98977705209813, -126.54630043117754, -177.54263556242205, -175.6631504571703, -84.85299606640723]"
820,"[-139.80491900249515, -118.00693111189312, -164.7727502916328, -98.37066907661233, -968.5856832627452, -228.95075054844654, -495.5135378254248, -351.2226489418454, -1357.0662073722876, -890.4787632111506]"
830,"[-523.3136510740896, -919.6745887445819, -312.9250975627451, -191.20684977234896, -120.75740995568131, -152.0363359364197, -488.97496635091704, -1645.3869851412087, -153.5193752522597, -398.4477828272692]"
840,"[-124.76912976716736, -144.79802618651453, -231.9912198132958, -382.22271845920113, -585.4054230432282, -291.60130748621856, -132.1027774059349, -109.82934020539192, -450.0284212240391, -364.4053151693107]"
850,"[-166.69098200889664, -194.83188955066143, -576.0955255896132, -149.9529553496722, -495.3135296548029, -137.68267526464533, -238.26347363092867, -109.46450888689583, -114.49288080731776, -368.814406153594]"
860,"[-395.3535893061798, -136.06040459971283, -161.68924488264128, -514.0123231571692, -959.8756840429305, -492.2427609136983, -115.36724733348734, -455.586999301244, -218.82707593676835, -350.54766240604476]"
870,"[-155.12817526424737, -421.46061443526514, -281.59646327526923, -459.7350293690463, -935.8321602047106, -284.28807062660485, -284.95467358527276, -673.5289311099184, -464.78398534806513, -480.20109104952246]"
880,"[-564.828578551742, -545.6947391698759, -317.9030707944655, -358.8246528679407, -326.42124975524, -486.7733851607818, -504.05577015187095, -148.74155196122996, -104.45251129465171, -99.69567030410153]"
890,"[-652.4358128076525, -171.6992030840629, -248.4643766576641, -161.5472375386651, -28.08887353426651, -426.8321083978552, -113.117861450813, -297.5032924801083, -475.7447286507677, -254.39588408854365]"
900,"[-598.5800651421813, -218.87269405063526, -101.35409107761836, -155.27746663472533, -990.1908076968875, -398.5376420734801, -171.32341294673589, -155.5037871458953, -376.3376700398669, -146.4799445758035]"
910,"[-105.2243839800806, -672.057645302789, -117.1788185560566, -371.7868574975861, -1634.828693741508, -305.8332172671065, -360.08290451563244, -637.0142534038301, -381.13637664860465, -533.930413180205]"
920,"[-269.64710223116646, -94.90971189674329, -503.17496898352806, -592.4408397125148, -141.36433956259148, -185.93082955192045, -710.9887434789167, -254.61513810263668, -110.01508601459378, -401.7650274543927]"
930,"[-360.6265541561822, -528.2280045436034, -525.8333014986005, -540.404317240001, -225.2793398167105, -200.8602365382678, -182.27533554321923, -601.3554979353855, -123.14319838412624, -653.5561876054782]"
940,"[-162.75167346313827, -802.9376698738969, -220.73813113908673, -189.14738927851062, -298.623822608216, -435.0629082577661, -113.70805627793823, -391.0631892857121, -141.4942758183472, -114.65206198272776]"
950,"[-37.74963263100352, -151.63065722228728, -134.56082918560395, -118.3416458696527, -140.09347695727288, -756.170380721999, 28.33957371765308, -601.0658899469706, -317.1364155532515, -143.4133790640319]"
960,"[-379.0174991009886, -123.3964057758385, -381.9393779973462, -449.9890898049854, -284.1794444502939, -118.34668844766935, -214.0362998057687, -465.36576315454124, -220.62337456770018, -427.77416674647145]"
970,"[-182.14720804720432, -131.92544426699953, -212.40170927770782, -272.3971735496126, -472.8586946884401, -294.8635751065328, -158.96757322698707, -275.3419597598603, -576.9868499492757, -269.03978130855967]"
980,"[-107.36053229262754, -216.08177397422364, -186.4959731834372, -131.06761307106558, -134.2307328943459, -87.06633948133245, -407.3258639248727, -659.6165440296389, -333.8780081393454, -322.40610926303873]"
990,"[-388.4515246035107, -312.8982099988102, -167.23327767633592, -107.54776160039981, -338.5313283910235, -474.5754209737661, -264.69367420785443, -112.24636084937032, -550.7077155770189, -237.4653953377894]"
1000,"[-6.927093607531276, -497.61412391977035, -154.91533881242395, -521.1112166025189, -150.58743371400746, -433.44500878673364, -155.9114665782524, -151.61752370038542, -581.0746914232889, -134.53695142832555]"
1010,"[-153.48186067920653, -287.9458458787823, -153.38751454520323, -200.34205786006575, -292.8470275010631, -475.4579372487319, -322.02342572624457, -287.20043831023753, -125.2062832757498, -218.99451960988614]"
1020,"[-691.5714219231501, -166.88650761070318, -372.51742193848037, -162.67264386393575, -530.5962207072704, -174.16605441212317, -326.2179271244353, -300.92654174322047, -125.43917172942437, -141.336422834747]"
1030,"[-363.11840242501614, -152.58295874799128, -328.93342251125745, -112.1559942122862, -300.71360259577546, -223.62114079669547, -91.84787923711067, -383.5389184422549, -411.92842122529555, -179.2163293019645]"
1040,"[-133.65918767743705, -168.96252639202473, -116.9694910266881, -286.0131723815782, -352.18092664660327, -303.41781787676985, -426.77011662894347, -122.08584751298699, -341.4977245094067, -162.4881834146789]"
1050,"[-158.31376454011354, -251.99223963043855, -313.11978158262514, -162.07504380895978, -353.8484665343784, -518.6034403767048, -59.172882427009334, -187.3402476938984, -535.9918461059879, -568.1490100397257]"
1060,"[-305.3361684154156, -142.22440711499982, -251.84602355011538, -124.92243688500949, -282.8866965039071, -541.9711222921023, -370.15984233428935, -341.3857060789901, -140.5388127009487, -83.68203794614503]"
1070,"[-748.0613269515211, -501.2544056961291, -192.75827125043662, -359.2385953079559, -246.79293461601372, -568.1902599088871, -452.62104080340947, -150.96237787488667, -161.20928429436862, -362.3322353126287]"
1080,"[-532.3361320677163, -188.75100572848436, -192.70700008984204, -160.19918899937028, -309.6237383185314, -457.93529612063645, -120.82440451853807, -419.50434166013747, -237.32167656345956, -168.64814245505204]"
