Num episodes,Cumulative rewards
580,"[-3.0, 14.0, 2.0, 15.0, -1.0, 37.0, 3.0, 13.0, 14.0, 15.0]"
590,"[15.0, 3.0, 0.0, 11.0, 12.0, 16.0, 3.0, 4.0, 9.0, 33.0]"
600,"[9.0, 12.0, 1.0, 3.0, 14.0, 15.0, 12.0, 38.0, 12.0, 0.0]"
610,"[50.0, 15.0, 15.0, 50.0, 50.0, 34.0, 50.0, 17.0, 7.0, 50.0]"
620,"[29.0, 12.0, 50.0, 31.0, 18.0, 25.0, 22.0, 50.0, 50.0, 21.0]"
630,"[36.0, 32.0, 50.0, 50.0, 31.0, 50.0, 25.0, 19.0, 50.0, 38.0]"
640,"[28.0, 50.0, 16.0, 50.0, 39.0, 50.0, 50.0, 50.0, 50.0, 50.0]"
650,"[13.0, 50.0, 9.0, 13.0, 16.0, 8.0, 50.0, 50.0, 10.0, 15.0]"
660,"[11.0, -1.0, 50.0, 12.0, 16.0, 50.0, 50.0, 16.0, 16.0, 5.0]"
670,"[50.0, 50.0, 12.0, 50.0, 28.0, 50.0, 2.0, 27.0, 28.0, 35.0]"
680,"[25.0, 18.0, 50.0, 17.0, 34.0, 37.0, 26.0, 28.0, 29.0, 27.0]"
690,"[50.0, 16.0, 17.0, 36.0, 38.0, 31.0, 34.0, 37.0, 26.0, 27.0]"
700,"[6.0, 14.0, -1.0, 22.0, 38.0, -2.0, -1.0, 12.0, 31.0, -2.0]"
710,"[19.0, 34.0, 21.0, -3.0, 26.0, 32.0, 23.0, 38.0, -3.0, 20.0]"
720,"[-3.0, 28.0, -3.0, -2.0, 0.0, -1.0, 50.0, 31.0, 9.0, -1.0]"
730,"[50.0, 28.0, 24.0, 50.0, 32.0, -2.0, -1.0, 12.0, 9.0, 13.0]"
740,"[50.0, -2.0, 37.0, -2.0, -1.0, 50.0, -2.0, 23.0, 33.0, 12.0]"
750,"[3.0, 31.0, 14.0, 50.0, 19.0, 32.0, -1.0, -1.0, 50.0, 1.0]"
760,"[50.0, 24.0, 0.0, 13.0, 11.0, 25.0, 50.0, 28.0, 39.0, -2.0]"
770,"[50.0, 50.0, 10.0, 25.0, 14.0, 25.0, 21.0, 50.0, 50.0, 14.0]"
780,"[33.0, -1.0, 21.0, 18.0, 50.0, 24.0, 37.0, 29.0, -3.0, 13.0]"
