Num episodes,Cumulative rewards
340,"[-125.33589192318192, -572.8850110829335, -134.14932723383333, -383.2781673004806, -573.3130857754701, -520.5533286072509, -339.4210918220748, -769.1838063401881, -501.05291370456666, -253.17960946343078]"
350,"[-227.00884345679128, -123.44587316607041, -127.62309884145085, -324.18078107828876, -179.36399386427314, -444.41116935167906, -327.3761691368436, -414.85813440497213, -497.80365830322876, -393.1270412830751]"
360,"[-126.56751445666427, -135.9401551843366, -186.95447588238306, -312.2763121850176, -376.6307691947991, -278.00502101227255, -315.2473335455141, -381.1312978512027, -182.66298707716666, -490.9847595954415]"
370,"[-405.24065801010454, -505.9234838694132, -396.4274962917124, 18.315796760182195, -145.05363827463393, -183.337888142447, -254.03370538155795, -449.5370085419926, -133.5195322062682, -77.01974136552224]"
380,"[-254.56023272876234, -155.38550712058168, -169.77873805963975, -219.11986689290276, -851.8362124380426, -320.84338662499783, -506.92468982183163, -34.29571525584339, -416.5383544647129, -590.253210569435]"
390,"[-122.6582263324647, -306.2813662565986, -311.60195047370576, -309.18754544666155, -845.9374750195459, -151.01594660063586, -504.5705625287802, -257.7652360874504, -204.38103041004, -323.2146994697502]"
400,"[-354.16617925707044, -137.11521902093014, -462.1151995468802, -133.930258807816, -220.69434204903138, -117.4837791456599, -280.16314984022966, -324.4496003496248, -149.9751383862954, -120.77115887566575]"
410,"[-254.800408528344, -317.9359415403986, -280.23978954898655, -100.8502273841874, -143.5487902956167, -120.78379485279453, -458.58509107482416, -238.04380755838815, -153.79029313665086, -689.0187207633408]"
420,"[-372.09024073395244, -115.47208433515353, -683.4392403072732, -246.0026910643209, -386.9200609728515, -119.05527051352058, -384.3065220681308, -282.78641370083045, -382.6219456763197, -239.23595661673502]"
430,"[-389.2189988121453, -167.1150516396671, -222.08206054402012, -409.31134157025036, -165.07559487811028, -103.66675271633294, -139.83829515360316, -295.70293826988654, -143.3077006707826, -287.43971068312817]"
440,"[-474.2178186327396, -148.17710594319365, -149.64382625370519, 6.057395734399179, -138.03263943054773, -397.21128625169297, -354.81746008630967, -437.3144165506155, -475.33414138641047, -143.57339519390712]"
450,"[-163.83283705497877, -104.00412729592588, -148.05021067837242, -298.9419793865553, -242.99459249958358, -103.23596234367318, -102.67659923174259, -117.11337396210581, -365.03328788770057, -112.31052243664158]"
460,"[-344.6197574262783, -333.97157810337524, -349.0657626627782, -108.96400218876178, -127.80587027880662, -361.53014799312484, -310.7715313820846, -309.40377947275886, -335.4723965781046, -225.93207057129854]"
470,"[-81.31803730240838, -107.589744741103, -416.90453626518223, -119.8777322544417, -117.72684287757107, -113.21067504172501, -160.86012203526215, -200.67479514112492, -393.67011800104234, -328.1538860456213]"
480,"[-122.74280636413204, -250.43238383540643, -110.58670530102219, -109.17392488283892, -361.37067560580624, -380.2592804625658, -132.5421577928143, -152.64221033593446, -321.02230588006273, -282.50381344582013]"
490,"[-123.81534240467502, -295.2974924872319, -416.3064587942814, -235.9789306542961, -115.40455121732533, -130.69588634305165, -115.30541933808252, -102.94993563636322, -597.9680993681421, -115.47983652051977]"
500,"[-169.40971102514567, -172.64840414526105, -293.2704131344426, -470.951978706777, -137.12976091940274, -136.34302417254497, -146.36089592129375, -125.88544944575975, -43.204974393011526, -440.14869766042443]"
510,"[-149.6704029998197, -183.6942926673617, -46.89957436057044, -156.77965922635266, -532.5436972056261, -142.70056609114525, -132.37993166422348, -118.07479940832908, -111.24045955124427, -140.27128025197396]"
520,"[-108.16337450509161, -566.854171979381, -161.02022182048754, -168.53019061295356, -104.04274281960508, -144.98676967951167, -555.3867710439625, -109.30439776466449, -94.09769987712829, -52.67678762591973]"
530,"[-118.68235553826091, -137.61866130966462, -114.8116595895514, -177.04145530412973, -112.31835074671277, -147.6998778073013, -123.351585628415, -115.89000529071245, -119.84839713840239, -103.59801914520473]"
540,"[-318.353090312171, -86.02589128188501, -125.7784923695703, 37.53086987900743, -111.18030263391685, -339.7901926824699, -115.83645136334573, -131.56463575774032, -145.71261058651965, -388.0686628427679]"
550,"[-200.3006670528666, -296.06801450295615, -137.84141055497616, -130.30536047484313, -209.35755453132276, -133.7447974883593, -91.27622575110433, -359.9526440444615, -365.53375223634055, -157.64155802566685]"
560,"[-310.2932148130714, -130.0250212191967, -140.04498694994496, -84.41321914168026, -146.3060135947861, -212.59320826820172, -597.1257349152099, -117.27277819010271, -606.9821971459342, -185.37663715429642]"
570,"[-130.1979766513313, -548.2384480828813, -193.1221669291728, -189.0810457490934, -145.30365069999687, -146.2171042847676, -144.88515367942406, -107.00955848813618, -126.5765149571516, -129.1575299535977]"
580,"[-158.2910225218166, -123.176081764325, -133.88343550650956, -131.15555403832005, -163.42517404234346, -266.28524555351356, -153.57533557585344, -250.08449066303515, -128.2198350598305, -115.57241350222489]"
590,"[-489.7041570750815, -92.46468489953202, -113.9719522256355, -158.99883648302716, -161.17280826062364, -138.8942236852507, -231.0193535506136, -130.04699325532883, -10.115568852067668, -220.4298472369776]"
600,"[-123.86271910211056, -143.36708706678357, -121.23888043350257, -122.20411072500121, -112.25265698891135, -131.04667797747666, -126.05368770139702, -114.84901840659174, -326.2592419474513, -105.03281428315142]"
